NAMER	GENDER	SOURCES
JUAN FRANCISCO	M	[18, 1, 2]
IKER	M	[7, 2, 4, 5, 19, 1, 6, 3, 1*]
JOSEP	M	[15, 2, 2*, 8, 1, 16, 3, 1*]
JOSE CARLOS	M	[1, 2]
ALEX	A	[11, 12, 15, 2, 4, 5, 8, 19, 1, 6, 3, 1*]
MARIANO	M	[9, 11, 7, 12, 2, 4, 5, 19, 18, 1, 16, 6, 3, 1*]
DOMINGO	M	[11, 7, 12, 15, 17, 2, 4, 5, 19, 18, 1, 16, 6, 3, 1*]
SEBASTIAN	M	[11, 17, 19, 5, 2*, 1, 16, 3, 9, 7, 12, 4, 18, 6, 2, 1*]
ALFREDO	M	[9, 11, 7, 12, 15, 17, 2, 5, 18, 1, 16, 6, 3, 1*]
CESAR	M	[9, 11, 7, 12, 15, 17, 2, 4, 5, 8, 18, 1, 6, 3, 1*]
JOSE ANGEL	M	[1]
FELIPE	M	[11, 17, 19, 5, 1, 16, 3, 7, 12, 15, 4, 18, 6, 2, 18*, 1*]
JOSE IGNACIO	M	[1, 2]
VICTOR MANUEL	M	[1, 2]
RODRIGO	M	[9, 11, 7, 12, 17, 4, 5, 18, 1, 16, 6, 2, 1*]
LUIS MIGUEL	M	[1, 2]
MATEO	M	[11, 17, 19, 5, 1, 16, 3, 9, 7, 12, 15, 4, 18, 6, 2, 1*]
JOSE FRANCISCO	M	[1, 2]
JUAN LUIS	M	[1, 2]
XAVIER	M	[9, 11, 15, 2, 4, 5, 8, 2*, 1, 16, 6, 3, 1*]
ALBERT	M	[15, 2, 4, 5, 8, 1, 16, 6, 3, 1*]
MARIA	A	[11, 17, 19, 5, 2*, 7*, 1, 16, 12*, 3, 9, 7, 12, 15, 6*, 4, 8, 5*, 18, 4*, 6, 2, 18*, 1*]
ESTEBAN	M	[11, 17, 19, 5, 2*, 1, 16, 3, 7, 12, 15, 4, 18, 6, 2, 1*]
GREGORIO	M	[9, 11, 7, 12, 15, 17, 4, 5, 19, 18, 1, 16, 6, 3, 1*]
ALEXANDER	M	[11, 4, 5, 19, 2*, 1, 16, 6, 2, 1*]
MARCO	M	[9, 11, 12, 2, 4, 5, 2*, 5*, 18, 1, 16, 6, 3, 1*]
ARTURO	M	[11, 7, 12, 15, 17, 2, 4, 5, 18, 1, 6, 3, 1*]
LORENZO	M	[11, 7, 12, 15, 2, 4, 5, 18, 1, 16, 6, 3, 1*]
BORJA	A	[11, 7, 2, 4, 5, 8, 18, 1, 16, 6, 3, 1*]
EUGENIO	M	[7, 12, 17, 4, 5, 19, 18, 1, 16, 6, 3, 1*]
CRISTOBAL	M	[11, 7, 12, 15, 17, 2, 4, 5, 18, 1, 16, 6, 3, 1*]
AARON	M	[9, 11, 7, 12, 17, 2, 4, 5, 18, 1, 6, 3, 1*]
JOEL	M	[11, 7, 15, 2, 4, 5, 8, 18, 1, 6, 3, 1*]
DARIO	M	[9, 11, 7, 2, 4, 5, 19, 18, 1, 16, 6, 3, 1*]
VALENTIN	M	[9, 11, 12, 15, 17, 2, 4, 5, 19, 18, 1, 16, 6, 3, 1*]
ISAAC	M	[9, 11, 7, 12, 2, 4, 5, 8, 18, 1, 16, 6, 3, 1*]
GERMAN	M	[11, 7, 12, 17, 2, 4, 5, 19, 18, 1, 16, 6, 3, 1*]
JONATHAN	M	[12, 4, 5, 8, 1, 6, 2, 1*]
ADOLFO	M	[9, 11, 7, 12, 2, 4, 5, 19, 18, 1, 16, 6, 3, 1*]
CHRISTIAN	M	[1, 11, 6, 2, 4, 5, 1*]
