NAMER	GENDER	SOURCES
SALIMA	F	[1, 2]
MARIA ANDREA	F	[1]
SAFAE	F	[1, 2]
EDITH	F	[18, 1, 6, 2, 4, 5, 1*]
NATALIA MARIA	F	[1]
JOVITA	F	[11, 7, 17, 4, 5, 1, 16, 6, 3, 1*]
LUCINDA	F	[1, 9, 16, 6, 17, 5, 1*]
CUSTODIA	F	[1, 9, 17, 5, 1*]
IBTISSAM	F	[1, 2]
MARIA CORAL	F	[1]
AURORA MARIA	F	[1]
LINA MARIA	F	[1]
ESTEL	F	[3, 1, 2, 15, 8, 1*]
MARIA ALEXANDRA	F	[1]
IULIANA	F	[1, 1*]
CARMEN GLORIA	F	[1]
MARIA ARANTZAZU	F	[1]
DOUNIA	F	[1, 2]
MARIIA	F	[1]
LENUTA	F	[1, 1*]
CLAUDINA	F	[1, 9, 6, 3, 4, 5, 1*]
KIARA	F	[5*, 1, 6, 2, 4, 5, 1*]
ASMAA	F	[1]
SARA ISABEL	F	[1]
MARIA TRANSITO	F	[1]
ALAIA	F	[4, 19, 1, 6, 2]
ANA CAROLINA	F	[1]
CARMEN ROCIO	F	[1]
YULIA	F	[1, 2]
LEA	F	[9, 11, 12, 2, 4, 5, 19, 18, 1, 6, 3, 1*]
ANTONELLA	F	[11, 7, 4, 5, 1, 6, 2, 1*]
CELINA	F	[9, 11, 4, 5, 1, 6, 3, 1*]
JOHANNA	F	[1, 6, 2, 4, 5, 1*]
FABIANA	F	[1, 9, 16, 6, 12, 5, 1*]
ELENE	F	[1, 19, 1*]
ISABEL CRISTINA	F	[1]
JOSEPA	F	[1, 16, 3, 15, 19, 8, 1*]
LEOCADIA	F	[11, 7, 17, 4, 5, 18, 1, 16, 6, 3, 1*]
HILDA	F	[9, 11, 7, 12, 4, 5, 8, 18, 1, 6, 3, 1*]
MARIA ENRIQUETA	F	[1]
MARIA GORETTI	F	[1]
EMILY	F	[1, 6, 2, 4, 5, 1*]
RUTH MARIA	F	[1]
MARIA CRISTO	F	[1]
MARIA DELIA	F	[1]
TANIA MARIA	F	[1]
ADRIANA MARIA	F	[1]
CESAREA	F	[18, 1, 11, 16, 6, 4, 5, 1*]
MARIA LETICIA	F	[1]
SEILA	F	[1, 4, 5, 1*]
STEFANIA	F	[1, 6, 2, 4, 5, 1*]
MARIA FLORENCIA	F	[1]
CLEMENCIA	F	[3, 1, 11, 16, 6, 5, 1*]
BENILDE	F	[18, 1, 11, 6, 4, 5, 1*]
MARIA SARA	F	[1]
GRACIA MARIA	F	[1]
SANAA	F	[1, 2]
ANA MERCEDES	F	[1]
RIM	F	[1, 2]
ISABELA	F	[1, 6, 2, 4, 5, 1*]
ETELVINA	F	[1, 9, 6, 4, 5, 1*]
LINDA	F	[1, 11, 6, 4, 5, 1*]
HASNA	F	[1, 5, 6]
RENATA	F	[9, 11, 17, 4, 5, 18, 1, 6, 3, 1*]
ADOLFINA	F	[1, 9, 6, 4, 5, 1*]
LARISA	F	[1, 11, 6, 2, 4, 5, 1*]
SANTA	F	[1, 16, 4, 5, 7*, 1*]
VALLE	F	[1, 4*, 5*, 6*, 1*]
LIBRADA	F	[1, 16, 6, 4, 5, 1*]
LIUDMILA	F	[1]
PENELOPE	F	[9, 11, 15, 4, 5, 19, 1, 6, 3, 1*]
XIOMARA	F	[9, 11, 7, 17, 4, 5, 1, 6, 1*]
AGATA	F	[9, 11, 17, 2, 4, 5, 8, 19, 1, 16, 6, 3, 1*]
AGRIPINA	F	[9, 11, 7, 4, 5, 19, 18, 1, 16, 6, 1*]
ASMA	F	[1, 2]
SABAH	F	[1]
DENISE	F	[11, 7, 4, 5, 1, 6, 2, 1*]
PILAR MARIA	F	[1]
DOMINICA	F	[18, 1, 9, 16, 6, 4, 5, 1*]
AMERICA	F	[9, 11, 4, 5, 1, 6, 3, 1*]
KAWTAR	F	[1, 2]
EVELIA	F	[1, 6, 4, 5, 1*]
ELSA MARIA	F	[1]
OUMAIMA	F	[1, 2]
ANA LAURA	F	[1]
FLAVIA	F	[9, 12, 4, 5, 1, 16, 6, 3, 1*]
MARIA ELOISA	F	[1]
AQUILINA	F	[18, 1, 9, 6, 3, 4, 5, 1*]
GRISELDA	F	[9, 11, 4, 5, 1, 6, 3, 1*]
WIAM	F	[1, 2]
AURA	F	[3, 1, 11, 2, 4, 5, 1*]
MARIA FLORA	F	[1]
ALEJANDRINA	F	[18, 1, 6, 4, 5, 1*]
BELLA	F	[3, 1, 6, 2, 4, 5, 1*]
ENMA	F	[1, 9, 1*]
GUACIMARA	F	[1, 1*]
TETIANA	F	[1]
FADOUA	F	[1]
LENA	F	[2, 4, 5, 1, 16, 6, 3, 1*]
DEMETRIA	F	[9, 7, 4, 5, 19, 18, 1, 16, 6, 1*]
GIOVANNA	F	[1, 7, 6, 2, 4, 5, 1*]
MARITZA	F	[1, 11, 17, 19, 1*]
IRAIDE	F	[1, 19]
ALICE	F	[1, 16, 6, 2, 4, 5, 1*]
MARIA PUERTO	F	[1]
AMADORA	F	[1, 9, 16, 1*]
IVETTE	F	[1, 11, 2, 17, 4, 5, 1*]
MARIA HELENA	F	[1]
MARIA NAZARET	F	[1, 4, 5]
MARIA PATROCINIO	F	[1]
MARIA CABEZA	F	[1]
ALEGRIA	F	[9, 2, 4, 5, 19, 1, 6, 3, 1*]
LILIA	F	[9, 11, 12, 2, 4, 5, 1, 6, 3, 1*]
CHRISTINE	F	[1, 11, 6, 5, 1*]
LIVIA	F	[1, 19, 6, 2, 4, 5, 1*]
LYUDMYLA	F	[1]
MARIA HORTENSIA	F	[1]
SYLVIA	F	[1, 11, 6, 3, 4, 5, 1*]
ANA SOFIA	F	[1]
MARIEM	F	[1, 2]
ANA ROCIO	F	[1]
MARIA AMAYA	F	[1]
DIANA MARCELA	F	[1]
AINHARA	F	[1, 2]
PINO	F	[17, 1, 1*]
MARTA ELENA	F	[1]
DORINA	F	[1, 6, 4, 5, 1*]
CEFERINA	F	[1, 9, 16, 1*]
NATALIIA	F	[1]
MIREN JOSUNE	F	[1]
ANIA	F	[3, 1, 19, 6, 2, 4, 5, 1*]
ARIADNE	F	[1, 5, 6]
MARIA VEGA	F	[1]
AHLAM	F	[1, 2]
INAS	F	[1, 2]
NELLY	F	[1, 6, 3, 4, 5, 1*]
FATOU	F	[1*, 1, 2]
FATMA	F	[1, 1*]
ANA DELIA	F	[1]
IRANTZU	F	[10, 1, 19]
MARIA PRESENTACION	F	[1]
MARIA VIOLETA	F	[1]
ANA ESTHER	F	[1]
INNA	F	[1]
ELEUTERIA	F	[1, 9, 16, 6, 4, 5, 1*]
MARIA JESUSA	F	[1]
FLORINA	F	[1, 3, 4, 5, 1*]
ADELA MARIA	F	[1]
CARMEN TERESA	F	[1]
MARIA MONICA	F	[1]
MARIA MONTAÑA	F	[1]
MARINELA	F	[1, 4, 5, 1*]
HERMELINDA	F	[9, 11, 4, 5, 1, 16, 6, 1*]
MARIA IGNACIA	F	[1]
JOANA MARIA	F	[1]
MARIA OLVIDO	F	[1, 4, 5, 6]
MARIA PUY	F	[1]
FELICITA	F	[1, 9, 16, 4, 5, 1*]
MARIAMA	F	[1*, 1, 2]
YADIRA	F	[1, 11, 4, 5, 1*]
ELIZABET	F	[1, 4, 5, 1*]
JORDINA	F	[3, 1, 8, 2]
ADARA	F	[1, 11, 6, 2, 4, 5, 1*]
YULIYA	F	[1]
JUANA ANTONIA	F	[1]
MARIANELA	F	[1, 11, 6, 17, 4, 5, 1*]
SOFIA MARIA	F	[1, 2]
SUSAN	F	[1, 16, 6, 4, 5, 1*]
MIREN NEKANE	F	[1]
CARMINA	F	[3, 1, 7, 6, 12, 5, 1*]
MANAR	F	[1, 2]
STEPHANIE	F	[1, 6, 4, 5, 1*]
LUMINITA	F	[1, 1*]
MARIA ELSA	F	[1]
STELLA	F	[6*, 4, 5, 5*, 1, 4*, 6, 2, 1*]
RICARDA	F	[12, 17, 4, 5, 18, 1, 16, 6, 3, 1*]
NATHALIE	F	[1, 6, 5, 1*]
LEANDRA	F	[1, 16, 6, 4, 5, 1*]
KATERYNA	F	[1]
ITSASO	F	[1, 19, 1*]
MARCIANA	F	[18, 1, 16, 6, 4, 5, 1*]
SOPHIA	F	[1, 6, 2, 5, 1*]
MARIA NATALIA	F	[1]
AMINATA	F	[1, 2]
DULCENOMBRE	F	[1, 1*]
ROSA CARMEN	F	[1]
ATENEA	F	[2, 4, 5, 1, 6, 3]
MARTHA LUCIA	F	[1]
NADINE	F	[1, 5, 6, 2]
LLUISA	F	[1, 3, 15, 8, 1*]
JUANA ROSA	F	[1]
YUMARA	F	[1*, 1, 2]
CARMEN NIEVES	F	[1]
TELMA	F	[3, 1, 6, 2, 4, 5, 1*]
MARIA CASTILLO	F	[1]
LIBE	F	[10, 1, 19, 6, 4, 5, 1*]
MARIA ELIZABETH	F	[1]
SOPHIE	F	[1, 6, 2, 4, 5, 1*]
ANA VANESSA	F	[1]
JANNAT	F	[1, 2]
MARIA IZASKUN	F	[1]
MARIA FLORENTINA	F	[1]
HELIODORA	F	[1, 4, 5, 1*]
MARIA ADELAIDA	F	[1]
NADIYA	F	[1]
ALBERTA	F	[9, 11, 4, 5, 8, 1, 16, 6, 3, 1*]
LUZ ADRIANA	F	[1]
SALIHA	F	[1]
JUANITA	F	[1, 16, 6, 12, 17, 5, 1*]
LAURA ISABEL	F	[1]
MELANY	F	[1, 6, 2, 4, 5, 1*]
YESENIA	F	[11, 12, 17, 4, 5, 1, 6, 2, 1*]
GALLA	F	[1, 2]
CASANDRA	F	[9, 11, 7, 12, 2, 4, 5, 1, 6, 3, 1*]
FATIMA MARIA	F	[1]
MAGALI	F	[9, 7, 2, 4, 5, 8, 1, 6, 3, 1*]
MARIA DESIREE	F	[1]
CINTHIA	F	[1, 6, 4, 5, 1*]
MARIA HERMINIA	F	[1]
ASIA	F	[2, 5, 1, 6, 3]
SILVINA	F	[1, 9, 11, 6, 6*, 4, 5, 1*]
HELEN	F	[1, 6, 2, 4, 5, 1*]
ALEKSANDRA	F	[1, 6, 5, 1*]
DALILA	F	[11, 7, 12, 4, 5, 8, 1, 6, 3, 1*]
ANGELES MARIA	F	[1]
LAUREANA	F	[1, 9, 19, 16, 6, 4, 5, 1*]
MARIA ESTEFANIA	F	[1]
VERONIKA	F	[1, 19, 5, 6]
ZAINAB	F	[1, 5, 6, 2]
MARIA ARGENTINA	F	[1]
EPIFANIA	F	[9, 11, 4, 5, 18, 1, 16, 6, 1*]
MARY	F	[1, 16, 6, 5, 1*]
MELODY	F	[1, 6, 2, 4, 5, 1*]
CRISTINA ISABEL	F	[1]
JESSICA MARIA	F	[1]
MARIA ESTIBALIZ	F	[1]
NAZIHA	F	[1]
ERMITAS	F	[1, 1*]
EVELIN	F	[1, 4, 5, 1*]
VALENTYNA	F	[1]
REMEI	F	[3, 1, 2, 15, 8, 1*]
FATIMA EZZAHRA	F	[1]
FUENCISLA	F	[1, 11, 1*]
MARIA FUENCISLA	F	[1]
NIEVES MARIA	F	[1]
LEONARDA	F	[1, 9, 16, 6, 4, 5, 1*]
VANESA MARIA	F	[1]
DANAE	A	[11, 7, 2, 4, 5, 19, 1, 6, 3]
INDARA	F	[1*, 1, 2]
CLARA EUGENIA	F	[1]
JADE	F	[4, 5, 1, 6, 2]
MARIA JUNCAL	F	[1]
RKIA	F	[1]
SAFAA	F	[1, 2]
AINHIZE	F	[10, 1, 19]
SHAILA	F	[1, 1*]
ESTRELLA MARIA	F	[1]
MAYTE	F	[12, 17, 4, 5, 1, 6]
VIRGINIA MARIA	F	[1]
BONIFACIA	F	[1, 9, 16, 5, 1*]
MARIA ASSUMPCIO	F	[1]
JACOBA	F	[1, 16, 6, 5, 8, 1*]
JUNCAL	F	[1, 1*]
DIANA PATRICIA	F	[1]
MIREN KARMELE	F	[1]
FEDERICA	F	[11, 2, 4, 5, 1, 16, 6, 3, 1*]
MOUNIA	F	[1]
MARIA SEÑOR	F	[1]
MABEL	F	[9, 7, 4, 5, 1, 16, 6, 3, 1*]
NEZHA	F	[1]
AGURTZANE	F	[1, 19, 1*]
NAZARETH	F	[1, 11, 6, 2, 4, 5, 1*]
ALEXANDRA MARIA	F	[1]
JOHANA	F	[1, 6, 4, 5, 1*]
UDANE	F	[1, 19]
ANA JULIA	F	[1]
CELEDONIA	F	[1, 16, 6, 4, 5, 1*]
MARIA ADELINA	F	[1]
ELIDA	F	[1, 6, 4, 5, 1*]
JAQUELINE	F	[1, 4, 5, 1*]
REGLA	F	[1, 1*]
MARIA ANTONIETA	F	[1]
NAWAL	F	[1]
ROBERTA	F	[1, 16, 6, 17, 4, 5, 1*]
CARMEN ISABEL	F	[1]
NEMESIA	F	[18, 1, 9, 16, 6, 5, 1*]
TALIA	F	[9, 7, 2, 4, 5, 19, 1, 6, 3, 1*]
JANIRA	F	[1, 8, 2]
ROSALBA	F	[3, 1, 7, 6, 4, 5, 1*]
MARIA AGUILA	F	[1]
AUXILIADORA	F	[1, 11, 18*, 3, 4, 5, 1*]
GADEA	F	[1, 19]
LLUNA	F	[1*, 1, 2]
CARMEN ELENA	F	[1]
NURIA ESTHER	F	[1]
PEREGRINA	F	[1, 9, 4, 5, 1*]
ALIA	F	[1, 5, 6, 2]
FANNY	F	[11, 7, 4, 5, 1, 6, 3, 1*]
GEORGIANA	F	[1, 1*]
DORIS	F	[1, 11, 19, 6, 4, 5, 1*]
ANTOLINA	F	[1, 16, 6, 4, 5, 1*]
LINA MARCELA	F	[1]
OLGA LUCIA	F	[1]
DOINA	F	[1, 1*]
VICTORIA MARIA	F	[1]
DUNA	F	[3, 1, 8, 2]
MARIA REGINA	F	[1]
OXANA	F	[1, 5, 6]
ALESSIA	F	[1, 6, 2, 4, 5, 1*]
LARA MARIA	F	[1]
DOSINDA	F	[1, 9, 1*]
NAHIKARI	F	[1, 19]
MARIA BERTA	F	[1]
MARIA NELIDA	F	[1]
NADA	F	[1, 2]
HASNAE	F	[1]
YAMNA	F	[1, 4]
MIMOUNT	F	[1]
MONTSE	F	[15, 3, 1, 2]
VERONICA MARIA	F	[1]
AROHA	F	[1]
MAYRA ALEJANDRA	F	[1]
EVARISTA	F	[1, 16, 4, 5, 1*]
LYUBOV	F	[1]
CHAYMAE	F	[1, 2]
LUCIA CARMEN	F	[1]
DULCE NOMBRE	F	[1]
NAILA	F	[1*, 1, 4, 2]
EDITA	F	[18, 1, 11, 6, 4, 5, 1*]
SAFIA	F	[1, 2]
ANA GABRIELA	F	[1]
OMAIMA	F	[1, 2]
ANA CECILIA	F	[1]
CORA	F	[9, 11, 2, 4, 5, 1, 6, 3, 1*]
SALOUA	F	[1, 5, 6]
IXONE	F	[10, 1, 19]
MARIOARA	F	[1]
XIMENA	F	[9, 11, 12, 17, 4, 5, 19, 1, 6, 1*]
YVONNE	F	[1, 11, 6, 2, 4, 5, 1*]
CAMINO	F	[1*, 1, 3]
ATIKA	F	[1]
LUANA	F	[1, 11, 6, 2, 4, 5, 1*]
NAYELI	F	[1, 11, 6, 2, 12, 4, 5, 1*]
ANISOARA	F	[1]
ISRAE	F	[1, 2]
ANASTASIIA	F	[1]
GLORIA ESTHER	F	[1]
VICENTA MARIA	F	[1]
CAROLINE	F	[1, 6, 4, 5, 1*]
COLOMA	F	[1, 11, 6, 3, 4, 5, 1*]
REBECCA	F	[1, 6, 2, 5, 1*]
MILAGRO	F	[1, 6, 4, 5, 1*]
GALYNA	F	[1]
CAROLA	F	[9, 15, 4, 5, 1, 6, 2, 1*]
ANA GLORIA	F	[1]
MARIA AURELIA	F	[1]
CARMEN LUISA	F	[1]
ANA ELENA	F	[1]
CATHAYSA	F	[1, 1*]
ISRAA	F	[1, 2]
ZAKIA	F	[1, 4, 5, 6]
DOLORES CARMEN	F	[1]
ANA MARGARITA	F	[1]
ESTELA MARIA	F	[1]
MARYNA	F	[1]
LOIDA	F	[1, 6, 17, 4, 5, 1*]
EMILIA MARIA	F	[1]
ANAHI	F	[1, 7, 6, 12, 4, 5, 1*]
AIDA MARIA	F	[1]
FULGENCIA	F	[1, 11, 16, 4, 5, 1*]
HANAE	F	[1, 5, 6, 2]
JENNY	F	[1, 6, 5, 1*]
ARMINDA	F	[1, 7, 6, 4, 5, 1*]
ANA JOSE	F	[1]
VANESSA MARIA	F	[1]
AIXA	F	[3, 1, 6, 2, 4, 5, 1*]
KIRA	F	[7, 5, 1, 6, 2]
LUDIVINA	F	[1, 5, 6, 1*]
VIKTORIYA	F	[1]
HIPOLITA	F	[1, 9, 11, 16, 3, 4, 5, 1*]
MAROUA	F	[1, 2]
LISA	F	[1, 11, 6, 2, 4, 5, 1*]
LIUBOV	F	[1]
ELEONORA	F	[1, 6, 3, 4, 5, 1*]
MARIA BENITA	F	[1]
SOUMAYA	F	[1]
LAUDELINA	F	[1, 6, 4, 5, 1*]
ROCIO CARMEN	F	[1]
MIREN ITZIAR	F	[1]
MARIA VALENTINA	F	[1]
MARGARET	F	[1, 16, 7, 6, 5, 1*]
NORAH	F	[3, 1, 2]
GABINA	F	[1, 9, 11, 16, 6, 4, 5, 1*]
JUANA TERESA	F	[1]
TERESITA	F	[1, 6, 4, 5, 1*]
LLANOS	F	[1, 11, 1*]
MARIA DELFINA	F	[1]
JOSEFA ANTONIA	F	[1]
MAURA	F	[9, 4, 5, 19, 18, 1, 16, 6, 3, 1*]
PEPITA	F	[12, 17, 8, 1, 3]
MARIA RAFAELA	F	[1]
WENDY	F	[1, 11, 7, 6, 4, 5, 1*]
YAMILA	F	[1, 11, 6, 4, 5, 1*]
ANE MIREN	F	[1]
MARIA ISOLINA	F	[1]
AVRIL	F	[4, 5, 1, 6, 2]
BELEN MARIA	F	[1]
CLARISA	F	[11, 12, 17, 4, 5, 1, 6, 3, 1*]
MARIA NOEMI	F	[1]
MELINA	F	[1, 9, 11, 6, 4, 5, 1*]
CARMEN BELEN	F	[1]
MARIA REGLA	F	[1]
PROVIDENCIA	F	[1*, 1, 3]
YANET	F	[1, 6, 4, 5, 1*]
JULENE	F	[1, 19]
ZENAIDA	F	[12, 17, 4, 5, 1, 16, 6, 1*]
MOUNA	F	[1, 5, 6, 2]
NATASHA	F	[1, 11, 7, 6, 2, 4, 5, 1*]
ISABEL CARMEN	F	[1]
MAIRA	F	[1, 6, 4, 5, 1*]
CHANTAL	F	[3, 1, 6, 2, 4, 5, 1*]
QUITERIA	F	[11, 12, 4, 5, 18, 1, 16, 6, 3, 1*]
LUZ DARY	F	[1]
JOAQUIMA	F	[1, 8, 3]
AIALA	F	[10, 19, 5, 1, 6]
HELGA	F	[9, 11, 7, 4, 5, 1, 6, 3, 1*]
CARMEN LUCIA	F	[1]
OUAFAE	F	[1]
FELICISIMA	F	[18, 1, 6, 4, 5, 1*]
ZIORTZA	F	[1, 19]
CONCHA	F	[1, 3, 12, 17, 1*]
DOUAA	F	[1, 2]
HADDA	F	[1]
ROSA ELVIRA	F	[1]
HIGINIA	F	[1, 16, 4, 5, 1*]
BRIGITTE	F	[1, 6, 4, 5, 1*]
DOUAE	F	[1, 2]
ECATERINA	F	[1]
MARIA DANIELA	F	[1]
MIMOUNA	F	[1]
KARMELE	F	[10, 1, 19, 1*]
TASNIM	F	[1, 2]
EMMA MARIA	F	[1]
LAURENTINA	F	[1, 5, 1*]
MARIA PEÑA	F	[1]
JEZABEL	F	[1, 11, 6, 4, 5, 8, 1*]
KENIA	F	[1*, 1, 2]
ZARA	F	[1, 6, 4, 5, 1*]
ELENA ISABEL	F	[1]
ESCOLASTICA	F	[9, 4, 5, 18, 1, 16, 6, 3, 1*]
IVONNE	F	[1, 11, 6, 2, 4, 5, 1*]
CONCEPCION MARIA	F	[1]
LUZ ELENA	F	[1]
MARIA LIDON	F	[1]
AIORA	F	[1, 19]
TRANSITO	F	[1, 11, 16, 6, 4, 5, 1*]
MERCEDES MARIA	F	[1]
BEATRIZ ELENA	F	[1]
OLEKSANDRA	F	[1]
ELVA	F	[1, 1*]
MARIA OFELIA	F	[1]
ROCIO PILAR	F	[1]
GLORIA PATRICIA	F	[1]
NIHAD	F	[1, 2]
BAHIJA	F	[1]
DANIA	F	[1, 11, 6, 2, 4, 5, 1*]
LOREDANA	F	[1, 6, 4, 5, 1*]
ELAIA	F	[1, 19, 2]
MARIA ASSUMPTA	F	[1]
SHEILA MARIA	F	[1]
JOSEFA CARMEN	F	[1]
NIDIA	F	[1, 9, 11, 6, 2, 5, 1*]
VINYET	F	[1, 3, 2, 8, 1*]
WISSAL	F	[1, 2]
ZOILA	F	[1, 6, 4, 19, 5, 1*]
ADELIA	F	[1, 6, 12, 4, 5, 1*]
CHAIMAA	F	[1, 2]
FRANCINA	F	[3, 1, 7, 6, 4, 5, 1*]
HARIDIAN	F	[1, 1*]
PAQUITA	F	[12, 17, 1, 3]
VILMA	F	[1, 6, 3, 4, 5, 1*]
JUANA ISABEL	F	[1]
NATACHA	F	[1, 6, 3, 4, 5, 1*]
MARIA FILOMENA	F	[1]
SERENA	F	[9, 11, 7, 2, 4, 5, 18, 1, 6, 3, 1*]
LAIDA	F	[1, 19]
YENIFER	F	[1, 11, 1*]
IARA	F	[1, 6, 4, 5, 1*]
KHADDOUJ	F	[1]
LUZ STELLA	F	[1]
ALTAGRACIA	F	[7, 12, 4, 5, 1, 16, 6, 1*]
SETEFILLA	F	[1, 7, 1*]
CAROLINA MARIA	F	[1]
RAJAE	F	[1]
FIONA	F	[9, 2, 4, 5, 1, 6, 3, 1*]
ISONA	F	[3, 1, 8, 2]
ALBA LUCIA	F	[1]
AYLA	F	[4, 5, 1, 6, 2]
MARCIA	F	[18, 1, 16, 6, 4, 5, 1*]
MAGDA	F	[11, 2, 4, 5, 1, 6, 3, 1*]
FAIZA	F	[1]
YAIZA MARIA	F	[1]
AMY	F	[1, 6, 2, 4, 5, 1*]
DEVA	F	[1, 5, 6, 5*]
MARIA GRACIELA	F	[1]
GISELLE	F	[1, 11, 6, 4, 5, 1*]
HONORINA	F	[18, 1, 9, 6, 4, 5, 1*]
NAJIA	F	[1]
DULCE NOMBRE MARIA	F	[1]
LEIA	F	[4, 5, 1, 6, 2]
MARIA GREGORIA	F	[1]
LETICIA MARIA	F	[1]
CONSOL	F	[1*, 1, 3]
DULCE	F	[11, 12, 17, 6*, 4, 5, 5*, 1, 4*, 6, 3, 1*]
HERMENEGILDA	F	[1, 16, 6, 4, 5, 1*]
YANA	F	[1]
NASSIRA	F	[1]
ROSA PILAR	F	[1]
LARYSA	F	[1]
ANA FRANCISCA	F	[1]
HUMILDAD	F	[18, 1, 4, 5, 1*]
DACIL	F	[1, 11, 6, 4, 5, 1*]
ANDREA CAROLINA	F	[1]
MILOUDA	F	[1]
AGAPITA	F	[1, 16, 4, 5, 1*]
ELNA	F	[2, 5, 8, 1, 3]
FATIMA ZAHRAE	F	[1, 2]
ILDEFONSA	F	[1, 16, 4, 5, 1*]
MARIA RESURRECCION	F	[1]
MAJDA	F	[1]
DANIELA MARIA	F	[1]
NARA	F	[2, 4, 5, 1, 6, 3]
CHAIMA	F	[1, 2]
IRACHE	F	[1, 1*]
LARRAITZ	F	[10, 1, 19, 1*]
URBANA	F	[1, 9, 16, 6, 4, 5, 1*]
ALENA	F	[7, 4, 5, 1, 6, 3]
IVANNA	F	[1, 6, 2, 4, 5, 1*]
ROSINA	F	[1, 11, 6, 3, 4, 5, 1*]
IGONE	F	[1, 19, 1*]
NISRINE	F	[1, 2]
EUNICE	F	[1, 11, 7, 6, 4, 5, 1*]
EVELINA	F	[1, 9, 6, 3, 4, 5, 1*]
JUANA ANA	F	[1]
MARIA CLAUDIA	F	[1]
ALBA ROCIO	F	[1]
STELA	F	[1, 1*]
MONICA PATRICIA	F	[1]
ISIS	F	[1, 6, 2, 4, 5, 1*]
JUANA DOLORES	F	[1]
LEONCIA	F	[18, 1, 9, 5, 1*]
YANIRE	F	[1]
NAHIARA	F	[4, 5, 1, 6, 2]
SEVERIANA	F	[1, 16, 4, 5, 1*]
JARE	F	[1, 19]
VIVIAN	A	[1, 9, 16, 6, 4, 5, 1*]
POLINA	F	[1]
SELMA	F	[9, 2, 4, 5, 8, 1, 6, 3, 1*]
GUILLERMA	F	[1*, 1, 16, 3]
VIKTORIIA	F	[1]
DOHA	F	[1, 2]
ROMANA	F	[1, 16, 6, 5*, 6*, 4, 5, 1*]
CHARLOTTE	F	[1, 6, 2, 4, 5, 1*]
ELISABETA	F	[1, 1*]
LEONOR MARIA	F	[1]
ANA MILENA	F	[1]
AWA	F	[1*, 1, 2]
NICULINA	F	[1]
ZOULIKHA	F	[1]
FRANCISCA ISABEL	F	[1]
GLORIA INES	F	[1]
MARIA CANDIDA	F	[1]
FLOAREA	F	[1]
MARIA AVELINA	F	[1]
MARIA ILUMINADA	F	[1]
MARIA ITZIAR	F	[1]
ORIANA	F	[1, 9, 11, 6, 4, 5, 1*]
MARIA FELIX	F	[1]
MIGUELINA	F	[18, 1, 6, 4, 5, 1*]
NISRIN	F	[1, 2]
ROSARIO CARMEN	F	[1]
CLEMENTA	F	[1, 16, 1*]
DELIA MARIA	F	[1]
GENARA	F	[1, 16, 6, 4, 5, 1*]
AGATHA	F	[4, 5, 1, 6, 2]
GERALDINE	F	[1, 11, 6, 2, 4, 5, 1*]
CONCHITA	F	[1*, 17, 1, 3]
NATHALIA	F	[1, 6, 4, 5, 1*]
HANNAH	F	[1, 6, 2, 4, 5, 1*]
JULIE	F	[1, 6, 5, 1*]
MARIA EVANGELINA	F	[1]
CARMEN ROSARIO	F	[1]
MARIA ELIA	F	[1]
ANISSA	F	[1]
ANA ALICIA	F	[1]
RADIA	F	[1]
BARBARA MARIA	F	[1]
SAFA	F	[1, 2]
SHIRLEY	F	[1, 6, 4, 5, 1*]
ALISON	F	[1, 6, 2, 4, 5, 1*]
ANALIA	F	[1, 11, 6, 12, 4, 5, 1*]
MARIA OTILIA	F	[1]
ROSA BLANCA	F	[1]
ELODIA	F	[17, 4, 5, 1, 16, 6, 3, 1*]
FLOR	F	[9, 11, 6*, 4, 5, 5*, 1, 4*, 6, 3, 1*]
ANA RAQUEL	F	[1]
ANA ROSARIO	F	[1]
OMAIRA	F	[1, 1*]
VANIA	F	[1, 6, 2, 5, 1*]
ANAMARIA	F	[1, 16, 1*]
MARIA SACRAMENTO	F	[1]
MYRIAN	F	[1, 1*]
JASMINA	F	[1, 2, 4, 5, 8, 1*]
MARIÑA	F	[1, 9]
IULIIA	F	[1]
ILENIA	F	[1, 11, 2, 1*]
MARIA TISCAR	F	[1]
NIRA	F	[1, 6, 2, 5, 1*]
IZARBE	F	[1, 1*]
LAURA CRISTINA	F	[1]
GLORIA ISABEL	F	[1]
MARIANA JESUS	F	[1]
IMELDA	F	[9, 11, 7, 12, 17, 4, 5, 18, 1, 6, 3, 1*]
AHINOA	F	[1]
ARWA	F	[1, 2]
KAROLINA	F	[1, 6, 2, 19, 5, 1*]
REBECA MARIA	F	[1]
BERTA MARIA	F	[1]
ZULEIMA	F	[1, 11, 1*]
VENANCIA	F	[1, 9, 16, 5, 1*]
VALERIE	F	[1, 6, 4, 5, 1*]
MARIA GADOR	F	[1]
AISSATOU	F	[1, 5, 6, 2]
IRAIDA	F	[3, 1, 6, 2, 5, 1*]
MILA	F	[1, 6, 2, 12, 4, 5, 1*]
HAWA	F	[1*, 1, 2]
MANUELA MARIA	F	[1]
PAULE	F	[1, 6, 19, 5, 1*]
ANSELMA	F	[1, 16, 3, 5, 1*]
MARIA CONCEPCIO	F	[1]
MARIA TERESA JESUS	F	[1]
ROSANNA	F	[3, 1, 2, 4, 8, 1*]
KEILA	F	[1, 7, 6, 2, 4, 5, 1*]
ARIANNE	F	[1, 5, 6, 2]
ARYA	F	[1, 2]
MARIA FABIOLA	F	[1]
AHINARA	F	[1]
SOUHAILA	F	[1]
